n,Insert,Print,Delete,Merge,IndexOf,Clear,Min,Max,HasDuplicates,Select
61,0.0,2.9919147491455077e-05,0.0,9.975433349609376e-06,0.0,0.0, 0.0,0.0,0.0,0.0
62,0.0,3.002166748046875e-05,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
63,0.0,2.9926300048828124e-05,0.0,9.968280792236329e-06,0.0,0.0, 0.0,0.0,0.0,0.0
64,0.0,2.9921531677246094e-05,0.0,0.0,0.0,9.977817535400391e-06, 0.0,0.0,0.0,0.0
65,0.0,2.9916763305664063e-05,0.0,9.973049163818359e-06,0.0,0.0, 0.0,0.0,0.0,0.0
66,0.0,3.988027572631836e-05,0.0,9.980201721191406e-06,0.0,0.0, 0.0,0.0,0.0,0.0
67,0.0,2.9926300048828124e-05,0.0,9.984970092773438e-06,0.0,0.0, 0.0,0.0,0.0,0.0
68,0.0,3.9892196655273436e-05,0.0,9.977817535400391e-06,0.0,0.0, 0.0,0.0,0.0,0.0
69,0.0,4.00233268737793e-05,0.0,9.844303131103515e-06,0.0,0.0, 0.0,0.0,0.0,0.0
70,0.0,4.004240036010742e-05,0.0,9.827613830566406e-06,0.0,0.0, 0.0,0.0,0.0,0.0
71,0.0,3.9894580841064456e-05,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
72,0.0,3.9894580841064456e-05,0.0,0.0,0.0,0.0, 0.0,0.0,0.0,0.0
73,0.0,2.992391586303711e-05,0.0,2.9926300048828124e-05,0.0,0.0, 0.0,0.0,0.0,0.0
74,0.0,4.960060119628906e-05,0.0,9.989738464355468e-06,0.0,0.0, 0.0,0.0,0.0,0.0
75,0.0,3.9892196655273436e-05,0.0,9.975433349609376e-06,0.0,0.0, 0.0,0.0,0.0,0.0
76,0.0,3.989934921264648e-05,0.0,9.968280792236329e-06,0.0,0.0, 0.0,0.0,0.0,0.0
77,0.0,3.9894580841064456e-05,0.0,1.9943714141845704e-05,0.0,0.0, 0.0,0.0,0.0,0.0
78,0.0,3.9882659912109375e-05,0.0,1.995086669921875e-05,0.0,0.0, 0.0,0.0,0.0,0.0
79,0.0,3.988981246948242e-05,0.0,9.980201721191406e-06,0.0,0.0, 0.0,0.0,0.0,0.0
80,0.0,3.9894580841064456e-05,0.0,2.9919147491455077e-05,0.0,0.0, 0.0,0.0,0.0,0.0
81,0.0,3.9892196655273436e-05,0.0,9.977817535400391e-06,0.0,0.0, 0.0,0.0,0.0,0.0
82,0.0,4.995346069335938e-05,0.0,1.9862651824951172e-05,0.0,0.0, 0.0,0.0,0.0,0.0
83,0.0,3.9894580841064456e-05,0.0,1.9946098327636718e-05,0.0,0.0, 0.0,0.0,0.0,0.0
84,0.0,4.951953887939453e-05,0.0,9.958744049072266e-06,0.0,0.0, 0.0,0.0,0.0,0.0
85,0.0,5.9762001037597655e-05,0.0,1.9955635070800782e-05,0.0,0.0, 0.0,0.0,0.0,0.0
86,0.0,3.9892196655273436e-05,0.0,9.9945068359375e-06,0.0,0.0, 0.0,0.0,0.0,0.0
87,0.0,4.986286163330078e-05,0.0,9.980201721191406e-06,0.0,0.0, 0.0,0.0,0.0,0.0
88,0.0,3.9894580841064456e-05,0.0,1.9948482513427735e-05,0.0,0.0, 0.0,0.0,0.0,0.0
89,0.0,4.9860477447509765e-05,0.0,9.984970092773438e-06,0.0,0.0, 0.0,0.0,0.0,0.0
90,0.0,4.9970149993896485e-05,0.0,1.984596252441406e-05,0.0,0.0, 0.0,0.0,0.0,0.0
91,0.0,5.9959888458251955e-05,0.0,1.9834041595458984e-05,0.0,0.0, 0.0,0.0,0.0,0.0
92,0.0,4.9870014190673825e-05,0.0,1.9946098327636718e-05,0.0,0.0, 0.0,0.0,0.0,0.0
93,0.0,5.984306335449219e-05,0.0,1.9941329956054688e-05,0.0,0.0, 0.0,0.0,0.0,0.0
94,0.0,5.983114242553711e-05,0.0,1.9958019256591795e-05,0.0,0.0, 0.0,0.0,0.0,0.0
95,0.0,4.96220588684082e-05,0.0,9.849071502685547e-06,0.0,0.0, 0.0,0.0,0.0,0.0
96,0.0,4.985332489013672e-05,0.0,1.9953250885009765e-05,0.0,0.0, 0.0,0.0,0.0,0.0
97,0.0,5.985736846923828e-05,0.0,1.992940902709961e-05,0.0,0.0, 0.0,0.0,0.0,0.0
98,9.973049163818359e-06,4.9872398376464845e-05,0.0,2.99072265625e-05,0.0,0.0, 0.0,0.0,0.0,0.0
99,0.0,5.0008296966552734e-05,0.0,9.834766387939453e-06,0.0,0.0, 0.0,0.0,0.0,0.0
100,0.0,5.948781967163086e-05,0.0,9.973049163818359e-06,0.0,0.0, 0.0,0.0,0.0,0.0
101,0.0,6.980419158935546e-05,0.0,9.987354278564453e-06,0.0,0.0, 0.0,0.0,0.0,0.0
102,0.0,4.9495697021484374e-05,0.0,1.9960403442382812e-05,0.0,0.0, 0.0,0.0,0.0,0.0
103,0.0,5.988597869873047e-05,0.0,1.990318298339844e-05,9.980201721191406e-06,0.0, 0.0,0.0,0.0,0.0
104,0.0,6.515264511108398e-05,0.0,1.9817352294921876e-05,0.0,0.0, 0.0,0.0,0.0,0.0
105,0.0,5.944013595581055e-05,0.0,1.9953250885009765e-05,0.0,0.0, 0.0,0.0,0.0,0.0
106,0.0,6.981372833251953e-05,0.0,1.9941329956054688e-05,0.0,0.0, 0.0,0.0,0.0,0.0
107,0.0,6.943464279174805e-05,0.0,2.9931068420410158e-05,0.0,0.0, 0.0,0.0,0.0,0.0
108,0.0,5.983352661132813e-05,0.0,2.9926300048828124e-05,9.975433349609376e-06,0.0, 0.0,0.0,0.0,0.0
109,0.0,6.981134414672852e-05,0.0,1.9941329956054688e-05,0.0,0.0, 0.0,0.0,0.0,0.0
110,0.0,5.9840679168701174e-05,0.0,1.995086669921875e-05,0.0,0.0, 0.0,0.0,0.0,0.0
111,0.0,6.992340087890624e-05,0.0,1.9838809967041014e-05,0.0,0.0, 0.0,0.0,0.0,0.0
112,0.0,5.950927734375e-05,0.0,2.992868423461914e-05,0.0,0.0, 0.0,0.0,0.0,0.0
113,0.0,5.94639778137207e-05,0.0,2.9919147491455077e-05,0.0,0.0, 0.0,0.0,0.0,0.0
114,0.0,5.988597869873047e-05,0.0,2.987861633300781e-05,0.0,0.0, 0.0,0.0,0.0,0.0
115,0.0,6.947517395019531e-05,0.0,2.9888153076171875e-05,0.0,0.0, 0.0,0.0,0.0,0.0
116,0.0,6.982088088989258e-05,0.0,1.9960403442382812e-05,0.0,0.0, 0.0,0.0,0.0,0.0
117,0.0,5.9456825256347655e-05,0.0,1.9946098327636718e-05,0.0,0.0, 0.0,0.0,0.0,0.0
118,0.0,5.990743637084961e-05,0.0,1.9884109497070314e-05,0.0,0.0, 0.0,0.0,0.0,0.0
119,0.0,6.98089599609375e-05,0.0,1.9946098327636718e-05,0.0,0.0, 0.0,0.0,0.0,0.0
120,0.0,6.942033767700196e-05,0.0,2.9926300048828124e-05,0.0,0.0, 0.0,0.0,0.0,0.0
121,0.0,6.951808929443359e-05,0.0,1.9886493682861327e-05,0.0,0.0, 0.0,0.0,0.0,0.0
122,0.0,5.959033966064453e-05,0.0,2.9921531677246094e-05,0.0,0.0, 0.0,0.0,0.0,0.0
123,0.0,7.952690124511719e-05,0.0,2.9921531677246094e-05,0.0,0.0, 0.0,0.0,0.0,0.0
124,0.0,6.954431533813477e-05,0.0,2.993345260620117e-05,0.0,0.0, 0.0,0.0,0.0,0.0
125,0.0,6.98232650756836e-05,0.0,1.9943714141845704e-05,0.0,0.0, 0.0,0.0,0.0,0.0
126,0.0,7.942438125610351e-05,0.0,1.9941329956054688e-05,0.0,0.0, 0.0,0.0,0.0,0.0
127,0.0,6.949186325073243e-05,0.0,2.9916763305664063e-05,0.0,0.0, 0.0,0.0,0.0,0.0
128,0.0,6.981611251831054e-05,0.0,1.9946098327636718e-05,0.0,0.0, 0.0,0.0,0.0,0.0
