algorithm 1,2.7161824703216553,2.23073410987854
algorithm 2,1.4527571201324463,1.2201635837554932
algorithm 3,0.5214023590087891,0.20011568069458008
algorithm 4,0.43063807487487793,0.053012847900390625
algorithm 5,0.29045701026916504,0.06987977027893066
algorithm 6,0.4331948757171631,0.09021234512329102
algorithm 1,49.44176769256592,89.3080735206604
algorithm 2,50.347107887268066,158.07732772827148
algorithm 3,33.65976858139038,69.6048002243042
algorithm 4,38.008634090423584,73.96030497550964
algorithm 5,0.3827941417694092,0.10542750358581543
algorithm 6,0.8472118377685547,0.8888094425201416
